Title,abstract
ChatGPT as a commenter to the news: can LLMs generate human-like opinions?,"This paper investigates the capability of large language models (LLMs) to generate opinionated comments on news articles that resemble human responses. Using ChatGPT as a representative LLM, the study evaluates generated comments across multiple news domains, including politics, economics, and social issues. The analysis focuses on linguistic structure, sentiment distribution, stance consistency, and topical relevance. Human-written comments are used as a baseline for comparison through both automated metrics and human evaluation. Results indicate that while LLM-generated comments demonstrate high grammatical accuracy and contextual relevance, they exhibit limitations in originality, personal experience expression, and long-term opinion consistency. The findings suggest that LLMs can approximate surface-level characteristics of human opinions but lack deeper cognitive and experiential grounding. This work contributes to understanding the role of LLMs in online discourse and raises implications for automated participation in public opinion spaces.   Large language models are increasingly deployed in interactive and content-generation settings, including simulated participation in online discussions. This study examines whether LLMs can function as news commenters by producing opinions that are indistinguishable from human-authored comments. We conduct a controlled experiment in which ChatGPT generates comments in response to curated news articles, and these outputs are compared with real user comments using lexical, semantic, and pragmatic features. Evaluation results show that LLM-generated opinions align closely with dominant narrative patterns and commonly expressed viewpoints but tend to avoid extreme positions and nuanced personal judgments. Additionally, the model demonstrates probabilistic opinion construction rather than genuine belief formation. The study concludes that LLMs generate statistically plausible opinions rather than authentic human perspectives, highlighting both their utility and limitations in modeling public discourse."
Understanding the Effects of Human-written Paraphrases in LLM-generated Text Detection,"The rapid adoption of large language models has increased the need for reliable methods to detect machine-generated text. This paper investigates the impact of human-written paraphrases on the performance of LLM-generated text detection systems. We analyze whether paraphrasing machine-generated content by humans affects detector accuracy across multiple detection models. The study considers lexical variation, syntactic restructuring, and semantic preservation introduced through paraphrasing. Experimental results show that human-written paraphrases significantly reduce detection performance, leading to higher false-negative rates. The findings indicate that current detection approaches rely heavily on surface-level statistical patterns that are disrupted by paraphrasing. This work highlights limitations in existing detection methods and emphasizes the need for more robust detection strategies that account for human-mediated text transformations.  Detecting text generated by large language models is a critical challenge in maintaining content authenticity. This study examines how human-written paraphrases influence the detectability of LLM-generated text. Using a benchmark dataset of machine-generated texts and their human-paraphrased versions, we evaluate multiple state-of-the-art detection models. The analysis focuses on changes in token distribution, syntactic complexity, and semantic similarity. Results demonstrate that even minimal human paraphrasing substantially degrades detector performance, suggesting that paraphrased content deviates from learned machine-generation signatures. The study concludes that human intervention introduces linguistic variability that current detectors fail to model effectively. These findings provide insights into adversarial weaknesses of LLM detection systems and inform future research on resilient detection methodologies."
Distinguishing LLM-generated from Human-written Code by Contrastive Learning,"The increasing use of large language models for code generation has created challenges in distinguishing machine-generated code from human-written implementations. This paper proposes a contrastive learning–based approach to differentiate LLM-generated code from human-authored code. The method learns discriminative representations by maximizing the separation between paired code samples from different sources while preserving semantic similarity within the same class. Experiments are conducted on multi-language code datasets generated by state-of-the-art LLMs and collected from human repositories. Results demonstrate that contrastive representations improve classification performance compared to supervised baselines, particularly in cross-model and cross-language settings. The findings indicate that contrastive learning captures structural and stylistic differences that are not easily observable through surface-level features.As code generation systems based on large language models become widely adopted, reliable identification of machine-generated code is increasingly important. This study explores the use of contrastive learning to distinguish LLM-generated code from human-written code. The proposed framework constructs positive and negative code pairs based on source labels and trains an encoder to learn source-sensitive representations. Evaluation across multiple programming languages and LLM variants shows consistent improvements in detection accuracy and robustness. Analysis reveals that LLM-generated code exhibits higher structural regularity and lower stylistic diversity compared to human-written code. The study concludes that contrastive learning provides an effective mechanism for modeling latent differences between human and machine code generation processes."
Differentiate ChatGPT-generated and Human-written Medical Texts,"The increasing application of large language models in the medical domain raises concerns regarding the origin and reliability of generated clinical and biomedical text. This paper investigates methods for differentiating ChatGPT-generated medical texts from human-written content. The study analyzes lexical, syntactic, and semantic features extracted from medical documents, including clinical notes and health-related narratives. Multiple classification models are evaluated to measure separability between the two text sources. Experimental results show that ChatGPT-generated medical text exhibits higher structural uniformity and controlled terminology usage, while human-written text demonstrates greater variability and contextual deviation. The findings highlight persistent distinctions between machine-generated and human-authored medical texts and support the development of automated detection systems for medical content verification.Large language models such as ChatGPT are increasingly used to generate medical text, necessitating reliable mechanisms for source identification. This study examines the differences between ChatGPT-generated and human-written medical texts using statistical and model-based detection approaches. The evaluation focuses on domain-specific vocabulary distribution, sentence complexity, coherence patterns, and factual consistency. Results indicate that ChatGPT-generated texts tend to follow standardized medical phrasing and exhibit reduced stylistic diversity compared to human-authored documents. Despite high linguistic fluency, detectable disparities remain in discourse structure and contextual reasoning. The study concludes that automated methods can effectively distinguish between ChatGPT-generated and human-written medical texts, with implications for medical documentation integrity and clinical safety."
"How Close is ChatGPT to Human Experts? Comparison Corpus, Evaluation, and Detection","This paper examines the similarity between ChatGPT-generated content and human expert-written text through systematic comparison, evaluation, and detection. A curated comparison corpus is constructed consisting of expert-authored documents and ChatGPT-generated counterparts across multiple knowledge-intensive domains. The evaluation framework measures linguistic quality, domain accuracy, structural consistency, and reasoning patterns using automated metrics and expert annotations. Experimental results indicate that ChatGPT achieves high surface-level fluency and domain-aligned terminology but shows limitations in deep reasoning, contextual adaptation, and expert judgment. Detection experiments further reveal that, despite increasing similarity, distinguishable patterns remain between machine-generated and expert-written text. The study provides quantitative insights into the proximity of ChatGPT to human expertise and informs future research on reliable evaluation and detection methodologies.Large language models are increasingly applied to expert-level content generation, raising questions about their closeness to human expert performance. This study evaluates ChatGPT in comparison with human experts by constructing a parallel corpus and applying multi-dimensional assessment and detection techniques. The analysis focuses on semantic accuracy, discourse organization, and task-specific reasoning across specialized domains. Results show that ChatGPT closely matches expert writing in syntactic structure and general knowledge expression but diverges in nuanced decision-making and context-sensitive interpretation. Detection models demonstrate moderate to high accuracy in separating ChatGPT-generated text from expert-authored content. The findings highlight both the strengths and remaining gaps of ChatGPT relative to human experts, contributing to the understanding of expert-level language generation systems."
Can ChatGPT Assess Human Personalities? A General Evaluation Framework,"This paper investigates the capability of ChatGPT to assess human personality traits and proposes a general evaluation framework for systematic analysis. The study evaluates ChatGPT-generated personality assessments using standardized psychological models, including trait-based representations. The framework measures consistency, trait alignment, and response stability across controlled input scenarios. Experimental results indicate that ChatGPT can produce personality assessments that align with common trait descriptors but exhibit limitations in reliability, contextual grounding, and inter-trait coherence. The findings suggest that while ChatGPT can approximate personality assessment patterns, it lacks access to underlying psychological states. The proposed framework provides a structured approach for evaluating language models in personality-related tasks.Large language models are increasingly applied to psychological and behavioral analysis tasks, including personality assessment. This study examines whether ChatGPT can assess human personalities and introduces a general evaluation framework to measure its performance. The evaluation considers trait prediction accuracy, internal consistency, sensitivity to input variation, and bias patterns. Results show that ChatGPT generates statistically plausible personality profiles that reflect dominant linguistic cues but demonstrate instability across paraphrased or incomplete inputs. Detection analysis further indicates that assessments are driven by probabilistic language modeling rather than psychological inference. The study concludes that ChatGPT can simulate personality assessment behavior but does not perform genuine personality evaluation, highlighting implications for responsible use in psychological contexts."
Is LLM-Generated Code More Maintainable \& Reliable than Human-Written Code?,"This paper investigates the maintainability and reliability of code generated by large language models (LLMs) in comparison to human-written code. The study evaluates code samples across multiple programming languages using standardized software engineering metrics, including code complexity, modularity, documentation quality, and defect proneness. Automated analysis and controlled testing are applied to assess functional correctness and long-term maintainability indicators. Experimental results show that LLM-generated code demonstrates consistent structure and adherence to common coding conventions, while human-written code exhibits greater stylistic diversity and contextual adaptation. However, LLM-generated code presents limitations in robustness under edge cases and evolving requirements. The findings provide empirical insights into the strengths and constraints of LLM-generated code in software development.The increasing integration of large language models into software development workflows raises questions regarding the quality of machine-generated code. This study compares LLM-generated code with human-written implementations in terms of maintainability and reliability. The evaluation framework incorporates static code analysis, test coverage, fault injection, and maintainability indices. Results indicate that LLM-generated code often achieves higher baseline readability and structural uniformity but shows reduced adaptability to complex system contexts and error-handling scenarios. Human-written code demonstrates superior resilience in long-term maintenance tasks. The study concludes that LLM-generated code offers advantages in initial development phases but does not consistently surpass human-written code in maintainability and reliability."
Real or Fake Text?: Investigating Human Ability to Detect Boundaries Between Human-Written and Machine-Generated Text,"This paper investigates human capability to distinguish between human-written text and machine-generated text. A controlled experimental setup is designed in which participants evaluate mixed documents containing both human-authored and machine-generated segments. The analysis focuses on detection accuracy, response confidence, and boundary identification performance. Results show that human participants achieve limited accuracy in identifying transition points between human-written and machine-generated text, particularly when the generated text exhibits high fluency and topical consistency. Performance varies across domains and participant expertise levels. The findings indicate that surface-level linguistic similarity reduces human detection effectiveness, highlighting challenges in manual identification of machine-generated content.As machine-generated text increasingly resembles human writing, the ability of humans to detect its presence becomes uncertain. This study examines how effectively humans can identify boundaries between human-written and machine-generated text within the same document. Participants are asked to annotate boundary locations and classify text segments under controlled conditions. Evaluation metrics include precision, recall, and inter-annotator agreement. Experimental results reveal low consistency and moderate accuracy in boundary detection, with frequent misclassification of fluent machine-generated passages as human-written. The study concludes that human judgment alone is insufficient for reliable detection, emphasizing the need for automated tools and hybrid evaluation approaches."
Can LLM-Generated Misinformation Be Detected?,"The increasing capability of large language models (LLMs) to generate fluent and coherent text raises concerns about the spread of automated misinformation. This paper investigates whether misinformation generated by LLMs can be reliably detected using existing detection techniques. The study evaluates multiple detection models on datasets containing factual content, intentionally misleading text, and LLM-generated misinformation across different domains. Analysis focuses on linguistic patterns, factual inconsistency signals, and model confidence behaviors. Experimental results show that while detection models perform reasonably on explicit misinformation, their effectiveness decreases significantly when misinformation is subtly generated with high linguistic fluency. The findings indicate limitations in current detection approaches and highlight the need for misinformation-aware modeling strategies.Large language models have the potential to produce misinformation that is difficult to distinguish from factual content. This study examines the detectability of LLM-generated misinformation through systematic evaluation of automated detection methods. The proposed framework analyzes semantic consistency, factual verification cues, and stylistic features in generated texts. Results demonstrate that LLM-generated misinformation often avoids obvious falsehood markers and aligns closely with credible narrative structures, reducing detection accuracy. Additionally, cross-model evaluation reveals weak generalization of detectors to unseen generation models. The study concludes that detecting LLM-generated misinformation remains a challenging problem and requires integration of linguistic analysis with external knowledge verification mechanisms."
Beyond Binary: Towards Fine-Grained LLM-Generated Text Detection via Role Recognition and Involvement Measurement,"Current approaches to LLM-generated text detection predominantly focus on binary classification between human-written and machine-generated content. This paper proposes a fine-grained detection framework that extends beyond binary labels by incorporating role recognition and involvement measurement. The method models different generative roles, including primary authoring, assisted writing, and post-editing, and quantifies the degree of LLM involvement in text production. Experiments are conducted on a newly constructed dataset with varying levels of human–LLM collaboration. Results demonstrate that the proposed approach improves detection granularity and provides interpretable insights into generation roles. The findings suggest that fine-grained modeling better reflects real-world text production processes than binary detection methods.As large language models are increasingly integrated into writing workflows, binary LLM-generated text detection becomes insufficient. This study introduces a fine-grained detection approach based on role recognition and involvement measurement to characterize human–LLM collaborative writing. The framework identifies distinct contribution roles and estimates the proportion of machine-generated content within a text. Evaluation results show that the proposed method outperforms traditional binary classifiers in mixed-authorship scenarios and maintains robustness across domains. Analysis indicates that role-aware representations capture latent generation patterns overlooked by existing detectors. The study concludes that fine-grained detection enables more accurate and transparent assessment of LLM involvement in textual content."
